title,body,impact,urgency,priority
Country Code Box Auto-Population UI is not correct,"Need to change the country code box colour to grey to indicate it is disabled.

!image-2019-01-04-16-03-30-562.png!",3,3,3
Country code for contact number,"The contact number must have a country code.

!image-2019-04-17-19-59-09-640.png!",3,2,2
Create Code Maintenance Error Message,"Need more specific error message

!image-2019-01-10-15-44-39-004.png!",3,3,3
Create Function Under Health Check is Not Working,"There is no option under service field. I Cannot proceed

!image-2019-01-10-18-41-51-352.png!",2,2,2
Create Modal Component for form Confirmation,!image-2019-01-11-19-23-16-727.png!,3,2,2
Create User Return Too General Error Message,"I try to create new user, the system returns this. I dont know which part was wrong

!image-2019-01-09-17-13-16-252.png!",2,2,2
"Create User page, only Dept not mandatory",Test script mentioned only Last Name and Role List field are optional.,3,3,3
"Create User, username alrady taken but it is not","So I try to create a user with this nickname

!image-2019-01-09-18-10-47-087.png!

But somehow it said the username already taken, so I check the listing, but there is no username like that

!image-2019-01-09-18-12-48-747.png!!image-2019-01-09-18-13-10-703.png!",2,2,2
Create What's New Wrong Error Message,"I try to put a text that exceeds the data length, the error message is like this, instead of ""The title already exceed the limit"" or limit the user to put more than the character limit

!image-2019-01-10-15-14-55-757.png!",3,3,3
Create the Health Check Service to Test ESB Interfacing,Please provide the health check for testing not only the connection but the whole interfacing itself (so can get 200 response),3,3,3
Cremated Remains Form - Error in styling on Request Information page,"Here are some errors that has been found 
 # Title of 'Upload Letter of Authorisation' and 'Applicant NRIC/Non-Singapore Passport' should contain allowed format and file size. !image-2019-02-25-16-32-59-594.png!
 # 'Date of Death' and 'Add-On Date' not show inline error message and the field color not change to red  !image-2019-02-25-16-34-08-118.png!
 # Death Certification No. field not show inline error message after filling with wrong number  !image-2019-02-25-16-35-45-974.png!",3,3,3
Cremated Remains Form - Error in styling on Requestor Information,"Here are some errors that has been found in this page : 
 # After clicking next without filling any fields, inline error message not show under 'Postal Code' fields   !image-2019-02-25-16-18-51-521.png!
 # After filling the field with the same information as in personal information, the field not show inline error message that indicate user is not allowed to fill in with the same information, e.g '{color:#de350b}Please enter a valid Name (requestor and the contact of personal information cannot be same){color}' !image-2019-02-25-16-19-18-790.png!
 # After clicking next without filling any fields, field under 'Contact Information' not show maximum digit allowed on inline error message and Country code on mobile no. field has populated value. Should be editable. !image-2019-02-25-16-27-10-169.png!",2,3,2
Cremated Remains Form - Error in styling under 'Contact Information' ,"Inline error message not show maximum char/ maximum digit allowed

!image-2019-02-25-16-10-06-155.png!",3,3,3
Cremated Remains Form - Option under Block No. and Room No. on request information seems wrong,"Option under Block No. and Room No. seems still in dummy values 

!image-2019-02-25-16-39-00-473.png!",2,2,2
Cron Job Global Menu Not Working,"All of the 4 options will redirect me to the task list also, please rename the module to ""CRON"" and re-arrange the menu into:
Task
History
Worker
Configuration

!image-2019-01-23-17-45-43-213.png!",3,3,3
Cron Job Still Empty,The cron job module still empty,1,1,1
Cron Name Does not Allow Spacing,"I think for naming its okay to have space?

!image-2019-01-10-15-33-46-999.png!",3,3,3
Cursor doesn't change to hand for click-able link,See attached screenshot.,3,3,3
Custom Account - My Profile UI weird,"# Should be Mobile No.
 # The dropdown and field input UI is weird

!image-2019-04-25-18-28-53-216.png|thumbnail!

3. After updating, there's no success message or indicator that it has been updated

!image-2019-04-25-18-31-38-885.png|thumbnail!",3,3,3
Custom Account - Name field can be filled with number,"After filling the name field with alphabet and number, the field not show inline error message

!image-2019-05-23-10-20-34-223.png!",3,3,3
Custom Account - No validation for input,"The validation only works when I click on 'Create'

!image-2019-04-11-10-23-41-992.png!

 

Also, the page title shows 'Register - Xtremax.IdentityProvider'. 

 ",3,3,3
Custom Account - Page Title wrong,"The page title for Custom Account should not be showing Xtremax.Identity.Provider etc

!image-2019-04-18-12-15-37-011.png!

 

 
||Page ||Page Title||
|Login with NEA ID|NEA ePortal \| Login|
|Register for NEA ID|NEA ePortal \| Registration|
|Register for NEA ID Form|NEA ePortal \| Registration Form|

 

 ",3,3,3
Custom Account and Login - List of Issues,"See attached for details of issues.

1. You'll should be You Will

2. Please change the text to ""some of the transactions cannot be ""performed""...

3. Need to add in ""Captcha""

4. Please change the text to ""some of the transactions cannot be ""performed""...

5. Email received for the Custom Account creation not in Annex A of the FS and not according to standard

1. should be from eportal@nea.gov.sg
 2. Email Subject should be: $ePortalName: Successful NEA ID Creation
 3. Email contents:
 Dear user,
 Your account .... bla bla bla
 (This is a system generated notification, please do not reply)

6. Validation not in for Name as per the test case:

7. No validation when I put ; for the email address:

8. Login using the Custom Account, OTP Email

9. According to the FS, the notification should be, ePortal should be spelt as ""ePortal""

10. Based on the Test Case Common - Internet, the error message in the test case does not tally with the message on screen (Test case indicated ""Email do not exist""):

11. It stated that my account is locked,
 But when I go to Intranet, the account is ""Unlocked"", also why is the Title ""CustomUsers""??? 
 Please update the message to ""..... Wrong OTP was entered. Please request a new OTP""

12 AskJamie works on Mobile but not desktop:",3,3,3
Custom Account registration Page,"The following issues to fix in custom account registration page.
 # There is no email format validation on email field which is the primary ID for custom account.
 # Contact no should be optional for the time being and should support +65 only. We will not be sending SMS to foreign number.
 # There should have gap in between email and contact no fields as to align with rest of the forms. 

 

!image-2019-05-15-10-24-43-851.png!

 

!image-2019-05-15-10-32-10-970.png!",3,3,3
Custom Account unable to receive OTP,"*Reporter:* Ai Ling, CQSD

*Details:*

MOP reported that they did not receive the OTP when trying to login with custom account. ",2,2,3
Custom Login - No validation on the mobile field,"There is no validation on the mobile field when creating custom account. 

!image-2019-05-07-14-51-52-336.png|width=571,height=373!",3,3,3
Custom account OTP email wrong,"Should be sent from [eportal@nea.gov.sg|mailto:eportal@nea.gov.g]

Pls amend",3,3,3
DSS Indication of User Interface (UI) Response,"As per DSS Standard 1.19 Indication of User Interface (UI) Response

!image-2019-04-30-18-23-34-809.png!

 

For Intranet, there is this ""hourglass"" replacement which will be displayed when System is busy processing user request.

 

For Internet, the same things should be +*applied*+. We experienced significant ""no response"" from ePortal while:
 # Submitting a application (waited quite a while for the acknowledgement page to be displayed)
 # uploading huge document",3,2,2
Dasboard Fixing,"* Please login as operational user
 * Remove the hand sign on username+role since it is not clickable !image-2019-05-16-17-08-28-546.png|width=538,height=238!
 * Fill up the empty gap on the quick links. Make it align to the summary box. Also, please make the icon + font centralized (vertically) !image-2019-05-16-17-11-03-524.png|width=527,height=164!
 * Make the date bigger and the title font smaller. Make sure the date is align with the content
!image-2019-05-16-17-14-13-725.png|width=448,height=237!",3,3,3
Dashboard Quick link Wrong Redirection,-,3,3,3
"Dashboard Wrong Redirection for 'pending Application resubmission"" and ""drafts","The pending Application Resubmission should bring the user to ""In Progress"" tab on eApplication Module. Meanwhile ""Draft"" should bring to ""Draft"" tab on eApplication",3,3,2
Date Format should be DD/MM/YYYY instead of MM/DD/YYYY,!image-2019-04-10-22-15-00-429.png!,3,3,3
Date Picker on Cron Job not Disabling the Day Before Current Date,"We should disable the day before current day

!image-2019-01-10-15-31-49-242.png!",3,3,3
Date of Death should be editable when Permit to Bury is selected,"based on FS, Date of Death should be editable when Permit to Bury is selected

!Date of Death - Permit to Bury.JPG!",2,2,2
Death Cert Validation,I remembered Danny said should be 20 chars.,3,3,3
Death Certificate Date should be mandatory for Deceased Details,"by FS, Death Cert Date should be mandatory, however without it, system can still trigger retrieve deceased details

!death cert date is not mandatory.JPG!",2,3,2
Default country dialling code prefix ,"Can we have a default code to be +65 for all fields, even for those that are editable?

!image-2019-04-22-17-52-40-835.png!",3,3,3
Delete Function for Application Service,"We need to add delete function for application service

!image-2019-01-23-14-30-13-066.png!",3,3,2
Deletion Need to Have Confirmation Function,"Need to add confirmation for all delete function ""Are you sure want to delete this item?""

!image-2019-01-07-17-59-02-580.png!",3,3,2
Department Admin and Operational User Role still have access to all of the module on the UI,"!image-2019-04-08-17-28-45-891.png!

The global menu should changes based on their access right",1,1,2
Department option is not available,"The option for department field is still not available on the creation of application service

!image-2019-01-07-12-51-35-618.png!",3,3,3
Dept user should not have access to edit ACL,See attached screenshot.,2,2,2
Description Box on Create Application Service Shifting to the Left,"When I try to create eApplication service then click on the description field, suddenly the description box shifting to the left

!image-2019-01-07-12-49-38-615.png!",3,3,3
Description Box on Create New Scope Should be better in text box,!image-2019-01-08-19-08-48-485.png!,3,3,3
Description Box on the Create New Scope Item would be better in form of text box (text area),!image-2019-01-08-19-09-52-651.png!,3,3,3
Description Under Create Application Service should be Mandatory,!image-2019-01-23-17-05-05-511.png!,2,3,2
"Despite uploading a valid file, the error message still appears","!Screenshot (2).png|thumbnail!

!Screenshot (4).png|thumbnail!

 

Step 17 cannot be achieved because error message still persists despite uploading a valid pdf file under 5MB. Cannot proceed to the next step.",2,2,2
Detail Page Slicing is Not Good,!image-2019-02-10-15-26-49-406.png!,3,3,3
Different Color on Field Poppulation,!image-2019-01-21-17-41-28-432.png!,3,3,3
Different search result for search function in homepage and top menu,"+*Homepage search*+

!search-2.png!

 

+*Top menu search*+

!search-1.png!",2,2,2
Directed to the wrong form,"It shows Authorisation for Third Party instead of Exhume Corpse form.

 

!exhume corpse.gif!",2,2,3
Directed to the wrong form,"I selected 'Addition of Cremated Remains' but I'm directed to Add/Update of NOK/OA form.

!image-2019-01-09-21-35-17-184.png|thumbnail!",2,2,1
Directed to wrong form,"# The service's name is wrong, it supposed to be ""Addition of Cremated Remains Ashes""
 # Code Maintenance still not updated
 # Missing Button for NOK
 # Missing Fields for Deceased Location

 

!cremated remains ash.gif!",3,3,3
"Disable ""Name"" Field for Maintenance Maintenance Announcement","Disable the ""Name"" field since the name should not be updated else the maintenance will have issue. 

 

!image-2019-01-30-18-10-39-187.png!",3,3,3
Disable +65 for all appointment forms on Internet and Intranet,"Pls only allow +65 country code for mobile number on Internet. 

Disable selection by user",3,3,3
Disable the service That on Maintenance,!image-2019-01-24-15-53-14-501.png!,2,3,3
Display Row 1 in Report List ,"See attached screenshot.

The functionality is also not working.",3,3,3
Display Row error in Cron Job,See attached screenshots.,3,3,2
Display associated columbarium information,"When select CCK columbarium, the block and other information shall show associated information",3,3,2
Display category name instead of ID,"Display readable category under the eServices listing page

!image-2019-04-17-19-52-22-766.png|width=1061,height=170!

At the same time include the ""Estimated time required: 5 minutes""

!image-2019-04-17-19-53-57-375.png!",3,3,2
Display message not unify,Display message for Create and Update Role will auto disappear after few seconds whereas in User List I need to close the message.,3,3,3
Display resolution in IE,"In IE, homepage is not nicely fit into whole screen.",3,3,3
Displaying Row not working,See attached screenshot.,3,3,3
Do not have error message for the Postal Code,"Hi all,

If we proceed to click next when we dont fill any field it will not shown error message for the postal code

 !image-2019-02-21-12-37-09-120.png|thumbnail! 

Thanks",3,3,3
Double Calendar Icon,"Just use one icon for date

!image-2019-01-14-18-33-26-745.png!",3,3,3
Double Notification when Submitting Form,"When submitting weekly submission form. I get 2 notifications at the same time for the same service.

 

!image-2019-01-31-17-43-37-494.png!",3,3,2
Double drop-down icon,See attached screenshot.,3,3,3
Double scrollbar in Service Status Count Monthly Report,See attached screenshot.,3,3,3
Downloaded confirmation page stretched out,"After submitting a new application ""Application for removal of urn.."", and click on download submitted application, the form looks weird. Should show application form and not acknowledgement page

!image-2019-06-24-01-17-40-059.png!",3,3,1
Draft dialog box keep showing up upon clicking next or back button,"Every time I click next on the form, the draft dialogue box shows up.

!image-2019-01-04-16-15-44-781.png!",3,3,3
Dropdown menu appear when minimize the browser,"There is a dropdown menu appear (as highlighted in red) when minimize the browser page to half the size. Also, user ID/name is not displayed. These are not the expected behaviors. Kindly fix it. 

 

!image-2019-01-28-18-17-06-999.png!",3,3,3
Duplicable function error ,"When I add a new duplicable field, fill all of the fields, then remove the first duplicate, suddenly the fields become like the picture below. Also, I unable able to upload any document.

!image-2019-01-04-16-26-37-048.png!",3,3,3
Duplicable input represented incorrectly in 'View Submission',"I viewed my submisison, and saw that the duplicable input was shown like this: 

!image-2019-01-11-18-47-58-402.png!",3,3,3
Duplicate Option Error,"The qualified person and QP representation should show the different option of choice. Currently, if I click on the qualified person, then click on QP representation the profession option is keep on duplicating

!image-2019-01-04-16-11-54-979.png!",3,3,3
Duplicate Records,"Why I can create the same service name?

!image-2019-01-14-11-18-04-258.png!",2,2,2
Duplicate Role Name,"There are two role names on the header:

!image-2019-01-04-16-02-05-288.png!",2,3,3
Edit Appointment Service Error,"Whenever I try to edit the UI configuration, the field will be always empty. Even after save and go back again. It will be always empty.

!image-2019-06-07-16-44-09-114.png|width=551,height=269!

 

I try to edit the Corrective Work Order service. Previously it is like this

!image-2019-06-07-16-46-05-634.png|width=459,height=439!

When I try to remove the additional field. It will become like this.

!image-2019-06-07-16-48-44-664.png|width=421,height=451!",2,2,3
Edit User link is not working,"When I click on Edit User on the top right corner, Edit User page is not loaded.",3,3,3
Edit function for eApplication still not correct,"'There are a lot of missing item on edit page e.g. Payment, Service URL, department, etc !image-2019-01-07-15-10-12-244.png!",2,2,2
Edited Maintenance Announcement not reflected in detail page.,"Nonetheless, the updated detail is reflected in listing page.",2,2,2
Edited What's New not reflected in detail page,"Nevertheless, the listing page is reflected.",2,2,2
Email Usage Statistic Report,The statistic is not correct.,1,1,1
Email and Roles on New User Creation Should be Mandatory,!image-2019-01-09-18-16-40-705.png!,3,3,3
Empty Category Content,No category information on the category page,2,2,2
Empty Department Admin Board,!image-2019-02-04-12-02-34-187.png!,1,1,1
Empty Upload Outbound Document UI on IE Browser,"!image-2019-04-25-21-46-41-215.png|width=1157,height=528!",2,2,2
Empty View Profile for Custom Login,"Login: Custom Account

Page: View Profile

Empty data is shown. This issue is not there if login via ePortal production.

 

!image-2019-12-02-14-07-49-733.png!",3,3,3
Ensure consistency on the name and order of the sub module for Cron,"Standardize the order and name for Cron module

!image-2019-01-23-19-56-47-381.png!

 

!image-2019-01-23-19-57-10-399.png!

 ",3,3,2
Error 403 for Report,See attached screenshot.,1,1,2
Error 404 for eAppointment module,See attached screenshots.,1,1,1
Error 404 in Follow-up in My Pending Action  ,See attached screenshots.,1,1,1
Error 404 in eAppointment Internet Staging Site,"The 'My Appointment' page of the internet staging site is empty, as shown below:

!image-2019-04-09-17-08-35-515.png|width=357,height=476!

If 'Missed' or 'Attended' is clicked on, error 404 occurs.

!image-2019-04-09-17-11-15-100.png|width=355,height=474!",1,1,1
Error 404 upon loading Audit Trail Report,See attached screenshot.,1,1,1
Error Console,!image-2019-02-15-16-13-56-318.png!,3,3,2
Error Location for Bulk Upload,"Can we have like (row, column) for the error location?

!image-2019-01-11-19-08-31-024.png!",3,3,3
Error Message Keep Showing Up,"When I try to change the amount type to custom (eApplication Creation) Suddenly the amount field show an error even I haven't key in any word

!image-2019-01-07-13-01-03-502.png!",3,3,3
Error Message Too General,"The error message is too general, need to be specific for each field

!image-2019-01-16-15-24-51-542.png!",3,3,3
Error Message Upon Cancellation of File Submission,"After uploading a file, I try to submit another file by clicking on the browse button, then cancel it.

!image-2019-01-07-16-28-42-562.png!

 

After cancelling the file upload, the following error message came out

!image-2019-01-07-16-29-32-801.png!",2,2,2
Error Message for Partial Payment,"Can we have an error message for partial payment input? The error message is ""The amount of Partial payment should not be Zero (0) or bigger than the original amount""

!image-2019-04-03-18-54-39-519.png!

!image-2019-04-03-18-54-22-862.png!",3,3,3
Error Message if user Do not provide Comment upon rerouting,"Please put the error message under the text box

!image-2019-01-31-20-01-58-974.png!",3,3,2
Error Message on Maintenance Field,"To make this scenario happen, when you create a service, try to select one maintenance start date. Then remove the date again until its clear like showing on the screenshot. When you try to create, there will be an error message saying maintenance end date is required. I think even we remove the start date, the configuration still recognize that the start date is still filled

!image-2019-01-29-09-46-31-967.png!",2,2,2
Error Message on The Service List,"Can we add a message that said ""Currently There is No Service Under This"" for each tab that dont have service under it

!image-2019-01-17-18-42-50-259.png!",3,3,3
Error Message won't disappear,"After you try to create a scope item, then fill the ""ID"" field wrongly, an error message will come out. Even after you click back, the error message will always show up.

!image-2019-01-08-19-00-36-066.png!",3,3,3
Error Messages Upon Postal Code Retrieval,"The form must return an error message if the postal code is invalid

!image-2019-01-04-16-21-41-096.png!",3,3,3
Error While Trying to Delete Config and No Deletion Confirmation,!image-2019-01-10-15-53-38-088.png|thumbnail!,3,3,3
Error creating Cron Job,See attached screenshots.,2,2,2
Error entering Cron expression,See attached screenshot.,3,3,3
Error export to pdf,-,3,3,2
Error for Cron Job Advance Search,-,3,3,2
Error for Cron Job Search,See attached screenshots.,3,3,2
Error for Recent Login User,See attached screenshots,2,2,2
Error in 'Recent Application to Process',"Logged in as a Department Officer. 
 # Clicked notification and saw that I have applications to process
 # Scroll down to Dashboard's 'Recent Application to Process' and see ""Unable to Retrieve Services""

!image-2019-04-16-17-00-27-789.png|width=467,height=350!
 # Click Menu > eApplication Management > Application
 # Saw no results found

!image-2019-04-16-17-00-15-893.png|width=426,height=319!",2,2,2
Error in Console,"*Weekly Submission*

!image-2019-01-09-11-48-25-452.png!

 

*Surrender Niche Lease*

!image-2019-01-09-14-42-55-170.png!

 

*Hold Prayer*

!image-2019-01-09-14-58-17-421.png!",3,3,3
Error in Console on Quieter Works,!error console.gif!,3,3,3
Error in Pop-Up Message upon Successful Creation of Form,"The message should say, 'Successfully Sent Message'. !image-2019-04-18-18-14-36-787.png|width=443,height=249!",3,3,3
Error in filling form fields,!Field Reset.gif!,3,3,3
Error in view guide on service categories,"Upon clicking on 'View all categories' on NEA ePortal, then clicking on 'After Death' or 'Radiation Safety' service categories, the system not downloaded the guide as can be seen on the attachment. It should be downloaded the service guide. 

 ",3,3,2
Error loading report Email Usage Statistic for <Month><Year>,See attached screenshots.,2,2,3
Error loading report Error or Warning Logs Up to Seconds,See attached screenshots.,2,2,3
Error loading report List of Role and Its Permission,See attached screenshots.,1,1,1
Error loading report List of System Service Check,See attached screenshots.,1,1,1
Error loading report List of User Access During Odd period,See attached screenshots.,1,1,1
Error loading report List of User Accounts as of Today,See attached screenshots.,1,1,1
Error loading report List of User with Unsuccessful Login Attempts,See attached screenshots.,1,1,1
Error loading report List of eApplication Transactions,See attached screenshots.,2,2,3
Error loading report List of eAppointment Transactions,See attached screenshots.,2,2,3
Error loading report Most Popular Service,See attached screenshots.,1,1,1
Error loading report Number of Interface Requests,See attached screenshots.,1,1,1
Error loading report Number of Notification,See attached screenshots.,1,1,1
Error message ,"Error message in test case is ""Please enter a valid other contact no"" for other contact No (optional), see below

!image-2019-04-09-16-30-10-335.png!",3,3,3
Error message for Space within Name,"It supposed to allow ""space"" 

!image-2019-01-11-12-05-43-840.png!",3,3,3
Error message for failed/lost connection,!image-2019-01-27-17-54-48-805.png!,3,3,3
Error message says file is invalid,"how to replicate issue:
- Upload file
- Click ""Next""
- Click ""Back""
- Click ""Next""

!image-2019-01-10-17-40-37-686.png!",1,1,1
Error on Application Detail Page,!image-2019-01-16-12-04-41-687.png!,3,3,3
Error on Upload File,"If go back to previous page, then go next page (vice versa). Error message will appear and need to re-upload the file again even already uploaded. 

!back submit.gif!",2,2,3
Error page design,"Please help to provide something nice for this T_T

!screenshot-1.png|thumbnail!",3,3,3
Error page need to be handled properly,"Attached screenshot is one of the example.

Please make sure all types of error page is handled properly.

To simulate this screenshot, simple change an invalid URL behind.",2,2,2
Error page shown upon clicking on System Administration link,See attached screenshots.,1,1,1
Error to Download Bulk Create User Sample Filte,"Error when trying to download the sample file for bulk create account

!image-2019-01-09-16-42-59-958.png!",3,3,3
Error updating Cron Job,"Nonetheless, the info is updated.",3,3,2
Error updating an user,See attached screenshots.,1,2,1
Error when try to create user from bulk upload,!image-2019-01-09-16-44-26-141.png!,2,2,2
Error while Creating Code Maintenance,!image-2019-01-10-15-42-35-043.png!,2,2,3
Error while sorting category in subcategory listing,See attached screenshots.,3,3,3
Est time of completion to be displayed on services listing page,"According to
|Standard 1.3 Listing of Services
Upfront|For all .gov.sg informational services, a listing of transactional services (if any) shall be provided upfront with a short description and any other useful information for each of the transactional services. The following information shall be clearly stated:
- Name of the transactional service;
- A brief description of the transactional service; and
- *Estimated time for completing the transactional service.*|

 

However, we don't have this. Need to add it in :(",3,3,3
Exceed max limit and missing option,"* Mobile No. limit should be 8.

!image-2019-01-17-17-21-22-198.png!
 * Profession options is missing.

!image-2019-01-17-17-16-39-714.png!",2,2,3
Export Function Needed for This Health Check Service Listing,!image-2019-02-08-23-16-23-482.png!,2,1,1
Export Function Needed for user List as replacement of report,!image-2019-02-08-23-30-49-136.png!,2,1,1
Export Function for Role,"The export function should be based on the search results

!image-2019-04-02-19-40-01-861.png!

 

!image-2019-04-02-19-40-16-290.png!",3,3,3
Export Function under eApplication is Not Working Correctly,"So I try to export the application list

!image-2019-01-15-12-23-02-114.png!

When I get the result somehow the date & time is incorrect

!image-2019-01-15-12-25-11-817.png!",2,3,2
Export function needed under role list as replacement of report,!image-2019-02-08-23-32-01-599.png!,2,1,1
Export function wrong redirection,"When I try to export the application listing, after I click on the export button, the system will redirect me to the application listing page. There should be no redirection at all

!image-2019-01-07-15-17-49-585.png|thumbnail!",3,3,3
External links should open in a new tab,"Try to click on Blue Plan link, it opens in the same window. Should be new tab instead.

[http://internet.neaoss.xtrdev.info/#/announcementdetail?id=21486800-90d1-46bb-a893-3fe279003cf8]

Also, why is it not following styleguide? 

!image-2019-01-27-16-59-09-906.png!

Styleguide. Upon hover, the link underlines.

!image-2019-01-27-16-59-38-791.png!",3,3,3
"External links should show icon, not available status",-,3,3,3
FAQ accordion cannot be closed,!image-2019-01-04-16-32-16-494.png!,3,3,3
FAQ should not be there,See attached screenshots.,3,3,3
FPD Forms - Changes to fields,"Please help to add validation for PACCK and PETOM field. 

The changes are highlighted in yellow

[https://docs.google.com/spreadsheets/d/1AsnZKr3loLFg1IdiW9RRAr99wmBoMKiWCoUILahwE5g/edit#gid=0]

 

There might also be a change to Death Certificate No., whereby it is just Text(15). No special validation needed, but we need to seek clarification from users. 

 ",3,3,3
FPD Forms - Deceased Full Name character limit,"The character limit of the deceased full name is 50, but we need to follow SG-DRM whereby all names should be 66. 

Can please check across all the FPD forms please?",3,3,3
FPD Forms - No validation for Letter of Authorisation Reference Number,"Tried to put in some dummy ref no, but it's not doing any validation.

!image-2019-04-11-11-32-44-389.png!",3,3,3
FPD Missing LOVs,"+Surrender Lease of Niche and Removal of Urn - *DONE*+
|*Move to:*|
|Choa Chu Kang Columbarium|
|Mandai Crematorium and Columbarium|
|Yishun Columbarium|
|Private Columbarium (Temple)|
|Private Columbarium (Clan)|
|Private Columbarium (Church)|
|S",2,2,2
FPD is not in drop-down list,See attached screenshot,3,3,3
"FW: Case notification: [Enquiry-Pulau Semakau Visit-Educational Visit], | CRM:0002366","*Reporter:* Roxane, 3PND

*Details:*

User reported that MOP was not able to submit their form for 3PND Custom Account services as they input their passport no. in the NRIC/FIN/Passport field.

!image-2020-01-08-12-29-43-008.png!",1,1,3
FW: Subject NEA ePortal: Application Status Update (APP-CSLTB-20190910-45869,"*Reporter* : Nancy Lim, 3PND

*Assignee :* %Binxian%

The following services has been withdrawn/cancelled by user. However, the slot still appearing in e-portal intranet as a booking

!image-2019-09-11-13-45-26-139.png!",2,2,3
FW: [NEA e-portal Claim Registration for NEA Mass Exhumation Programme] Critical/Major bug uncovered,"*Reporter :* Kenny 

*Assignee*  : %Binxian%

User reported that while processing APP-CCKME-20190907-59021 on 13 Sept 2019 and 16 Sept 2019, my office is unable to approve the application. Please refer to the attachment for action taken on 13 Sept 2019 and the following screenshots for action taken on 16 Sept 2019.

!image-2019-09-18-10-50-34-990.png!",2,2,3
FW: [WOGAA] Implementation of WOGAA Tracking Codes,"*Reporter:* Gek Ling SAW, ITD

*Assignee* : %Jason Kang%

Transactional Services are Implemented wrongly after WOGAA verification. 

!https://lh3.googleusercontent.com/--H6zLgjeCcA/XXiTeCWZ8lI/AAAAAAAALFs/oS3qh6gdue8g9h7jGLefCnEdWF_nfBPbQCK8BGAsYHg/s0/2019-09-10.png!",3,3,3
Failed to Auto-Populate Company Address,!image-2019-01-21-18-50-44-557.png!,3,3,3
Failed to Create Appointment Service but the Service is Exist,"The following is the message of error

!image-2019-04-02-19-15-51-291.png!

The following is the service detail:

!image-2019-04-02-19-16-46-321.png!",1,1,1
Failed to Create Function Under Health Check,"I try to create a function under Health Check Function, It said success but there is no record appears.

!image-2019-01-14-11-29-24-116.png!",2,2,2
Failed to Create with Internal server Error message,"!image-2019-04-02-19-11-51-310.png!

 

I use this input:

The following page will show:
1. Service Configuration
a. Name: UAT Service
b. Description: For testing purpose
c. Service Category: Pollution Control
d. Service Subcategory: Construction
e. Service Code: UATAT
f. Department: RPNSD
g. Validity Period (Start Date): User Current Date and Time
h. Validity Period (End Date): 10/10/2021
i. Initiated By: Officer
j. Login Type: Singpass and CorpPass
k. Show to Public: Yes

2. Maintenance Configuration
a. Maintenance Period Start Date (Optional): -
b. Maintenance Period Start Time (Optional): -
c. Maintenance Period End Date (Optional): -
d. Maintenance Period End Time (Optional): -
e. Maintenance Message (Optional): -

3. Appointment Configuration
a. Allow Reschedule: Yes
b. Allow MOP to Reschedule: Yes
c. Reschedule Type: Normal with Preferred Date
d. Reschedule Limit: 5
e. Require MOP Acknowledge: Yes
f. Allow cancellation: Yes
g. Minimum Advance Cancellation: 1 Day
g. Minimum Advance Appointment: 5 Days
h. Maximum Advance Appointment: 5 Days

4. Calendar Configuration
a. Available Days: Monday - Friday
b. Operating Hour Start (HH:MM:AM/PM): 8.00 AM
c. Operating Hour End (HH:MM:AM/PM): 18.00 PM
d. Duration Per Appointment: 1 Hour(s)
e. Max Bookings Per Slot: 2 
f. Max Bookings Per Person: 2
g. Appointment Location: Onsite - NEA South West Regional Office
h. Days & Time Availability: Monday, Tuesday, Wednesday at 11 AM

5. Notification Configuration
a. Require Notification: Yes
b. Contact Email: current user email
c. First Reminder: 7 Days before the appointment.
d. Second Reminder: 3 Days before the appointment.

6. Resource Configuration
a. Resource Type: Officer
b. Resource Name: Resource Testing Data 1

7. UI Configuration
a. Additional Field Name (Optional): Remarks

8. Acknowledgement Page UI Configuration
a. Acknowledgement: Thank you for submitting",2,2,3
Failed to Edit Draft,-,2,2,2
Failed to Export Appointment List,"I get this notification every time I try to export. edocument also the same, only user list dont have this

!image-2019-04-25-21-05-05-900.png!",3,2,2
Failed to Load Icon,"The tooltip icon is not loaded correctly

!image-2019-01-04-16-07-40-329.png!",3,3,3
Failed to Login to Custom Account,-,2,2,2
Failed to Login using CorpPass,I cannot login using CorpPass,1,1,1
Failed to create custom account,!image-2019-01-11-19-26-50-461.png!,1,1,1
Failed to lock external user,"Got this error when try to lock the user

!image-2019-01-10-18-27-33-934.png!",2,2,3
Failure to Auto Populate Form,"Failed to auto-populate info from my info, the page needs to be refreshed first.

!image-2019-01-04-15-56-27-720.png!",2,2,2
Failure to auto populate block from postal code,"House/Block Number should be auto populated from OneMap postal code, but current form does not behave so.

!image-2019-01-08-13-46-14-427.png|thumbnail!

!image-2019-01-08-13-47-27-849.png|thumbnail!",3,2,2
Favorites List Service Cannot Be Accessed,-,1,1,1
Favorites Service  - Service Category is Not Updated,"Need to change this to the service category name

!image-2019-01-14-18-52-28-499.png!",3,3,3
Fee Summary Description Box on Create Application Service Shifting to the Left,"The box shifted left upon clicking on it

!image-2019-01-07-12-59-42-021.png!",3,3,3
Fetch Data Failed Outbound and Inbound Document,!image-2019-04-03-12-18-34-713.png!,2,2,3
Fetch Data Failed on Internet After Inactivity of more than 15 mins, !image-2019-04-09-17-41-28-539.png|thumbnail! ,2,2,1
Fetch data failed,"When i do not want to continue with service and click on < back funtion, this error ""Fetch Data Failed"" shows.",2,2,3
Fetch data failed on Notification,"Hi all,

Got Fetch Data Failed on the Notification when access the dashboard of MyNEA and click the bell icon in the toolbar


 !image-2019-02-21-15-13-36-535.png|thumbnail! 

Pls assist
",3,3,3
